# file...... output/grp_rec_vB_mag.csv
# date...... Mon Mar  6 15:27:07 2023
# user...... nathangray
# host...... (null)
# group..... class=meter
# property.. voltage_B
# limit..... 0
# interval.. 1
# timestamp,source_equivalence,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,inv_20_meter,node_21,node_22,node_23,inv_23_meter,node_24,node_25,node_26,inv_26_meter,node_27,node_28,node_29,inv_29_meter,node_30,inv_30_meter
2001-08-01 12:00:27 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196323,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:28 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:29 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:30 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:31 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196323,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:32 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196323,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:33 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196323,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:34 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:35 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:36 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:37 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:38 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:39 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196323,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:40 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196323,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:41 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:42 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:43 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
2001-08-01 12:00:44 PDT,2521.865976,2521.851114,2508.572471,2497.850176,2495.904471,2510.430232,2518.265228,2517.715343,0.000000,0.000000,0.000000,2518.262690,2521.137275,2506.389074,2484.638920,2506.390672,2521.138864,2517.716935,2506.336795,2505.850245,2506.554793,2506.554793,2521.083786,2520.621460,2521.271530,2521.271530,2517.661978,2517.196322,2517.853663,2517.853663,2510.430232,2518.262690,2510.430232,2510.430232,2518.262690,2518.262690
