# file...... output/var_losses.csv
# date...... Thu Mar 16 16:52:50 2023
# user...... nathangray
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 1
# limit..... 0
# property.. timestamp,sum(power_losses.imag)
2001-08-01 12:00:00 PDT,+69280.1092674
2001-08-01 12:00:01 PDT,+69280.1092689
2001-08-01 12:00:02 PDT,+69280.1092651
2001-08-01 12:00:03 PDT,+69280.1092648
2001-08-01 12:00:04 PDT,+69280.1092656
2001-08-01 12:00:05 PDT,+69280.1092668
2001-08-01 12:00:06 PDT,+69280.1092667
2001-08-01 12:00:07 PDT,+69280.1092654
2001-08-01 12:00:08 PDT,+69280.109267
2001-08-01 12:00:09 PDT,+69280.1092652
2001-08-01 12:00:10 PDT,+69280.109267
2001-08-01 12:00:11 PDT,+69280.1092678
2001-08-01 12:00:12 PDT,+69280.1092673
2001-08-01 12:00:13 PDT,+69280.1092659
2001-08-01 12:00:14 PDT,+69280.109269
2001-08-01 12:00:15 PDT,+69280.1092664
2001-08-01 12:00:16 PDT,+69280.1092678
2001-08-01 12:00:17 PDT,+69280.1092681
2001-08-01 12:00:18 PDT,+69280.1092656
2001-08-01 12:00:19 PDT,+69280.1092648
2001-08-01 12:00:20 PDT,+69280.1092693
2001-08-01 12:00:21 PDT,+69280.1092657
2001-08-01 12:00:22 PDT,+69280.1092689
2001-08-01 12:00:23 PDT,+69280.1092684
2001-08-01 12:00:24 PDT,+69280.1092669
2001-08-01 12:00:25 PDT,+69280.1092665
2001-08-01 12:00:26 PDT,+69280.1092686
2001-08-01 12:00:27 PDT,+69280.1092695
2001-08-01 12:00:28 PDT,+69280.1092654
2001-08-01 12:00:29 PDT,+69280.1092653
2001-08-01 12:00:30 PDT,+69280.1092679
2001-08-01 12:00:31 PDT,+69280.1092669
2001-08-01 12:00:32 PDT,+69280.1092681
2001-08-01 12:00:33 PDT,+69280.1092671
2001-08-01 12:00:34 PDT,+69280.1092653
2001-08-01 12:00:35 PDT,+69280.1092676
2001-08-01 12:00:36 PDT,+69280.1092661
2001-08-01 12:00:37 PDT,+69280.1092676
2001-08-01 12:00:38 PDT,+69280.1092677
2001-08-01 12:00:39 PDT,+69280.1092653
2001-08-01 12:00:40 PDT,+69280.1092665
2001-08-01 12:00:41 PDT,+69280.1092657
2001-08-01 12:00:42 PDT,+69280.1092662
2001-08-01 12:00:43 PDT,+69280.1092636
2001-08-01 12:00:44 PDT,+69280.1092667
2001-08-01 12:00:45 PDT,+135046.250276
2001-08-01 12:00:46 PDT,+135046.250278
2001-08-01 12:00:47 PDT,+135046.250269
2001-08-01 12:00:48 PDT,+135046.250279
2001-08-01 12:00:49 PDT,+135046.25028
2001-08-01 12:00:50 PDT,+135046.250276
2001-08-01 12:00:51 PDT,+135046.250279
2001-08-01 12:00:52 PDT,+135046.250272
2001-08-01 12:00:53 PDT,+135046.250279
2001-08-01 12:00:54 PDT,+135046.250276
2001-08-01 12:00:55 PDT,+135046.25028
2001-08-01 12:00:56 PDT,+135046.250273
2001-08-01 12:00:57 PDT,+135046.25028
2001-08-01 12:00:58 PDT,+135046.250276
2001-08-01 12:00:59 PDT,+135046.250279
2001-08-01 12:01:00 PDT,+116565.999149
2001-08-01 12:01:01 PDT,+116565.999144
2001-08-01 12:01:02 PDT,+116565.99914
2001-08-01 12:01:03 PDT,+116565.999143
2001-08-01 12:01:04 PDT,+116565.999137
2001-08-01 12:01:05 PDT,+116565.99914
2001-08-01 12:01:06 PDT,+116565.999136
2001-08-01 12:01:07 PDT,+116565.999145
2001-08-01 12:01:08 PDT,+116565.999143
2001-08-01 12:01:09 PDT,+116565.99914
2001-08-01 12:01:10 PDT,+116565.999142
2001-08-01 12:01:11 PDT,+116565.999139
2001-08-01 12:01:12 PDT,+116565.999139
2001-08-01 12:01:13 PDT,+116565.999137
2001-08-01 12:01:14 PDT,+116565.999144
2001-08-01 12:01:15 PDT,+116565.99914
2001-08-01 12:01:16 PDT,+116565.999143
2001-08-01 12:01:17 PDT,+116565.999142
2001-08-01 12:01:18 PDT,+116565.99914
2001-08-01 12:01:19 PDT,+116565.999146
2001-08-01 12:01:20 PDT,+116565.99914
2001-08-01 12:01:21 PDT,+116565.999143
2001-08-01 12:01:22 PDT,+116565.999137
2001-08-01 12:01:23 PDT,+116565.999145
2001-08-01 12:01:24 PDT,+116565.999147
2001-08-01 12:01:25 PDT,+116565.999142
2001-08-01 12:01:26 PDT,+116565.999133
2001-08-01 12:01:27 PDT,+116565.999142
2001-08-01 12:01:28 PDT,+116565.999144
2001-08-01 12:01:29 PDT,+116565.999144
