# file...... output/grp_rec_qC.csv
# date...... Thu Mar 16 16:52:50 2023
# user...... nathangray
# host...... (null)
# group..... class=overhead_line
# property.. power_in_C
# limit..... 0
# interval.. 1
# timestamp,oh_line_source_equivalence_post_fault,oh_line_1_2,oh_line_2_3,oh_line_3_4,oh_line_2_5,oh_line_5_6,oh_line_6_7,oh_line_17_24,oh_line_24_25,oh_line_24_26,oh_line_6_8,oh_line_8_9,oh_line_8_10,oh_line_11_12,oh_line_16_21,oh_line_21_22,oh_line_21_23,oh_line_2_13,oh_line_13_14,oh_line_15_18,oh_line_18_19,oh_line_18_20
2001-08-01 12:00:00 PDT,143.003311,338353.621307,66301.927419,66248.544268,193413.734913,167837.044310,15105.817035,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514535,15088.242586,15028.246534,58.232324,60812.098148,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:01 PDT,143.003311,338353.621318,66301.927419,66248.544268,193413.734925,167837.044320,15105.817035,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514536,15088.242585,15028.246534,58.232324,60812.098150,45669.586353,15085.397806,15027.335118,56.355922
2001-08-01 12:00:02 PDT,143.003311,338353.621309,66301.927419,66248.544268,193413.734914,167837.044314,15105.817038,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514534,15088.242585,15028.246534,58.232324,60812.098149,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:03 PDT,143.003311,338353.621303,66301.927419,66248.544268,193413.734911,167837.044310,15105.817035,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514529,15088.242585,15028.246534,58.232324,60812.098145,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:04 PDT,143.003311,338353.621309,66301.927419,66248.544268,193413.734917,167837.044310,15105.817035,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514531,15088.242585,15028.246534,58.232324,60812.098145,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:05 PDT,143.003311,338353.621311,66301.927419,66248.544268,193413.734909,167837.044306,15105.817033,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514529,15088.242585,15028.246534,58.232324,60812.098156,45669.586353,15085.397806,15027.335118,56.355922
2001-08-01 12:00:06 PDT,143.003311,338353.621286,66301.927419,66248.544268,193413.734902,167837.044304,15105.817035,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514534,15088.242586,15028.246534,58.232324,60812.098139,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:07 PDT,143.003311,338353.621317,66301.927419,66248.544268,193413.734923,167837.044319,15105.817037,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514531,15088.242585,15028.246534,58.232324,60812.098149,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:08 PDT,143.003311,338353.621324,66301.927419,66248.544268,193413.734929,167837.044325,15105.817039,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514539,15088.242585,15028.246534,58.232324,60812.098149,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:09 PDT,143.003311,338353.621310,66301.927419,66248.544268,193413.734921,167837.044320,15105.817039,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514534,15088.242585,15028.246534,58.232324,60812.098144,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:10 PDT,143.003311,338353.621319,66301.927419,66248.544268,193413.734927,167837.044324,15105.817033,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514541,15088.242585,15028.246534,58.232324,60812.098147,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:11 PDT,143.003311,338353.621309,66301.927419,66248.544268,193413.734922,167837.044318,15105.817033,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514533,15088.242585,15028.246534,58.232324,60812.098143,45669.586353,15085.397806,15027.335118,56.355922
2001-08-01 12:00:12 PDT,143.003311,338353.621320,66301.927419,66248.544268,193413.734917,167837.044309,15105.817033,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514532,15088.242585,15028.246534,58.232324,60812.098157,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:13 PDT,143.003311,338353.621312,66301.927419,66248.544268,193413.734916,167837.044311,15105.817042,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514527,15088.242585,15028.246534,58.232324,60812.098151,45669.586353,15085.397806,15027.335118,56.355922
2001-08-01 12:00:14 PDT,143.003311,338353.621326,66301.927419,66248.544268,193413.734933,167837.044329,15105.817032,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514544,15088.242585,15028.246534,58.232324,60812.098148,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:15 PDT,143.003311,338353.621320,66301.927419,66248.544268,193413.734926,167837.044322,15105.817032,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514531,15088.242586,15028.246534,58.232324,60812.098148,45669.586353,15085.397805,15027.335118,56.355922
2001-08-01 12:00:16 PDT,143.003311,338353.621295,66301.927419,66248.544268,193413.734900,167837.044297,15105.817032,15088.202725,15028.233830,58.205973,-9835.513398,-9901.376191,0.000000,21065.514528,15088.242585,15028.246534,58.232324,60812.098149,45669.586353,15085.397805,15027.335118,56.355922
